id: 2627 , bb_dists : 86.000000
id: 8326 , bb_dists : 20.622222
id: 42297 , bb_dists : 85.497076
id: 28530 , bb_dists : 13.604651
id: 58010 , bb_dists : 28.000000
id: 34203 , bb_dists : 96.497409
id: 47880 , bb_dists : 88.988764
id: 8422 , bb_dists : 76.000000
id: 12193 , bb_dists : 96.342090
id: 18295 , bb_dists : 95.856968
id: 20854 , bb_dists : 95.856968
id: 59082 , bb_dists : 41.000000
id: 42585 , bb_dists : 94.325166
id: 18871 , bb_dists : 104.000000
id: 11073 , bb_dists : 92.338479
id: 5602 , bb_dists : 85.154195
id: 13520 , bb_dists : 93.989362
id: 5717 , bb_dists : 15.218169
id: 40685 , bb_dists : 21.758999
id: 40061 , bb_dists : 23.000000
id: 12967 , bb_dists : 64.000000
id: 24342 , bb_dists : 80.000000
id: 57418 , bb_dists : 21.155556
id: 32923 , bb_dists : 96.342090
id: 12816 , bb_dists : 80.691358
id: 41742 , bb_dists : 13.075472
id: 25922 , bb_dists : 19.980695
id: 52216 , bb_dists : 17.591623
id: 5970 , bb_dists : 97.395514
id: 41913 , bb_dists : 102.000000
id: 21414 , bb_dists : 96.089452
id: 53881 , bb_dists : 11.916667
id: 59994 , bb_dists : 14.268293
id: 21142 , bb_dists : 86.081656
id: 12759 , bb_dists : 31.000000
id: 46488 , bb_dists : 96.407760
id: 51151 , bb_dists : 80.142724
id: 48664 , bb_dists : 94.325166
id: 9441 , bb_dists : 102.302439
id: 12359 , bb_dists : 19.980695
id: 14880 , bb_dists : 79.687500
id: 54574 , bb_dists : 61.000000
id: 48847 , bb_dists : 77.470968
id: 21286 , bb_dists : 95.343462
id: 18896 , bb_dists : 13.000000
id: 20577 , bb_dists : 13.000000
id: 27077 , bb_dists : 103.079117
id: 45976 , bb_dists : 95.396544
id: 2772 , bb_dists : 11.000000
id: 23505 , bb_dists : 77.470968
id: 40154 , bb_dists : 95.906250
id: 9878 , bb_dists : 20.618182
id: 11537 , bb_dists : 79.687500
id: 32387 , bb_dists : 11.000000
id: 16544 , bb_dists : 62.000000
id: 37117 , bb_dists : 15.133159
id: 32292 , bb_dists : 94.556728
id: 63515 , bb_dists : 11.000000
id: 54190 , bb_dists : 87.715909
id: 22822 , bb_dists : 87.000000
id: 54574 , bb_dists : 88.497175
